char1,char2,similarity
曖,曖,1.0
曖,皧,0.7707061881442463
曖,噯,0.76567109009818
曖,瞹,0.7528202641249587
曖,嗄,0.7500109476913643
曖,懓,0.7401503289379285
曖,璦,0.7328011871030784
曖,嘠,0.726555630940749
曖,嘤,0.720739120163353
曖,嘍,0.7161156271325719
